;PC Software:StarLab Version 3.60 Build 9
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:27/05/2021 at 13:18:42
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Pulsar Sensor 1 Pyroelectric PE25-C (s/n:963165)  FU1.30 (s/n:957840)

;Channel A:Details
;Name:PE25-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1053
;Settings:Range:20.0mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:10uS
;Settings:Threshold:N/A
;Settings:External Trigger:Off
;Missing Pulses Detect:Off 

;Channel A:Statistics
;Min:7.910mJ             
;Max:9.290mJ             
;Average:8.763mJ             
;Std.Dev.:166.2uJ             
;Overrange:0                   
;Total Pulses:75387               
;--------------------


;First Pulse Arrived : 27/05/2021 at 13:18:53
    Timestamp    	  Channel A  	
        81.376716	  8.347e-03 	
        81.576658	  8.644e-03 	
        81.776602	  8.399e-03 	
        81.976544	  8.661e-03 	
        82.176487	  8.748e-03 	
        82.376429	  8.748e-03 	
        82.576373	  8.818e-03 	
        82.776315	  8.696e-03 	
        82.976257	  8.679e-03 	
        83.176201	  8.923e-03 	
        83.376143	  8.923e-03 	
        83.576085	  8.556e-03 	
        83.776029	  8.766e-03 	
        83.975971	  8.836e-03 	
        84.175915	  8.486e-03 	
        84.375857	  8.574e-03 	
        84.575799	  8.783e-03 	
        84.775743	  8.906e-03 	
        84.975685	  8.801e-03 	
        85.175629	  8.871e-03 	
        85.375571	  8.731e-03 	
        85.575513	  8.661e-03 	
        85.775457	  8.644e-03 	
        85.975399	  8.801e-03 	
        86.175342	  8.783e-03 	
        86.375284	  8.871e-03 	
        86.575227	  8.574e-03 	
        86.775170	  8.818e-03 	
        86.975112	  8.853e-03 	
        87.175056	  8.993e-03 	
        87.374998	  8.888e-03 	
        87.574942	  8.486e-03 	
        87.774884	  8.731e-03 	
        87.974826	  8.748e-03 	
        88.174770	  8.661e-03 	
        88.374712	  8.364e-03 	
        88.574655	  8.644e-03 	
        88.774597	  8.521e-03 	
        88.974540	  8.504e-03 	
        89.174483	  8.504e-03 	
        89.374425	  8.783e-03 	
        89.574369	  8.766e-03 	
        89.774311	  8.993e-03 	
        89.974253	  8.766e-03 	
        90.174197	  8.469e-03 	
        90.374139	  8.644e-03 	
        90.574083	  8.451e-03 	
        90.774025	  8.329e-03 	
        90.973967	  8.434e-03 	
        91.173911	  8.626e-03 	
        91.373853	  8.661e-03 	
        91.573797	  8.748e-03 	
        91.773739	  8.609e-03 	
        91.973681	  8.626e-03 	
        92.173625	  8.644e-03 	
        92.373567	  8.609e-03 	
        92.573510	  8.626e-03 	
        92.773452	  8.434e-03 	
        92.973396	  8.591e-03 	
        93.173338	  8.801e-03 	
        93.373280	  8.871e-03 	
        93.573224	  8.696e-03 	
        93.773166	  8.888e-03 	
        93.973110	  8.486e-03 	
        94.173052	  8.871e-03 	
        94.372994	  8.888e-03 	
        94.572938	  8.679e-03 	
        94.772880	  8.661e-03 	
        94.972823	  8.801e-03 	
        95.172765	  8.539e-03 	
        95.372709	  8.556e-03 	
        95.572651	  8.416e-03 	
        95.772593	  8.661e-03 	
        95.972537	  8.486e-03 	
        96.172479	  8.696e-03 	
        96.372421	  8.609e-03 	
        96.572365	  8.644e-03 	
        96.772307	  8.679e-03 	
        96.972251	  8.748e-03 	
        97.172193	  8.923e-03 	
        97.372135	  8.906e-03 	
        97.572079	  8.679e-03 	
        97.772021	  8.923e-03 	
        97.971965	  8.469e-03 	
        98.171907	  8.836e-03 	
        98.371850	  8.906e-03 	
        98.571793	  8.644e-03 	
        98.771735	  8.871e-03 	
        98.971678	  8.713e-03 	
        99.171620	  8.783e-03 	
        99.371564	  8.591e-03 	
        99.571506	  8.661e-03 	
        99.771448	  8.923e-03 	
        99.971392	  8.801e-03 	
       100.171334	  8.766e-03 	
       100.371278	  8.801e-03 	
       100.571220	  8.591e-03 	
       100.771162	  8.836e-03 	
       100.971106	  8.696e-03 	
       101.171048	  8.399e-03 	
       101.370992	  8.504e-03 	
       101.570934	  8.556e-03 	
       101.770877	  8.731e-03 	
       101.970819	  8.556e-03 	
       102.170761	  8.801e-03 	
       102.370705	  8.818e-03 	
       102.570648	  9.010e-03 	
       102.770590	  9.010e-03 	
       102.970533	  8.556e-03 	
       103.170475	  8.679e-03 	
       103.370419	  8.888e-03 	
       103.570361	  8.661e-03 	
       103.770303	  8.731e-03 	
       103.970247	  8.679e-03 	
       104.170189	  8.713e-03 	
       104.370133	  8.364e-03 	
       104.570075	  8.644e-03 	
       104.770019	  8.853e-03 	
       104.969961	  8.679e-03 	
       105.169903	  8.626e-03 	
       105.369847	  8.661e-03 	
       105.569789	  8.644e-03 	
       105.769733	  8.731e-03 	
       105.969675	  8.661e-03 	
       106.169617	  8.783e-03 	
       106.369560	  8.504e-03 	
       106.569503	  8.713e-03 	
       106.769445	  8.941e-03 	
       106.969388	  8.661e-03 	
       107.169330	  8.679e-03 	
       107.369274	  8.574e-03 	
       107.569216	  8.871e-03 	
       107.769160	  8.644e-03 	
       107.969102	  8.818e-03 	
       108.169044	  8.731e-03 	
       108.368988	  8.818e-03 	
       108.568930	  8.574e-03 	
       108.768873	  9.045e-03 	
       108.968816	  9.028e-03 	
       109.168758	  8.731e-03 	
       109.368702	  8.451e-03 	
       109.568644	  8.679e-03 	
       109.768588	  8.871e-03 	
       109.968530	  8.766e-03 	
       110.168472	  8.626e-03 	
       110.368416	  8.871e-03 	
       110.568358	  8.818e-03 	
       110.768301	  8.731e-03 	
       110.968243	  8.748e-03 	
       111.168185	  8.783e-03 	
       111.368129	  8.591e-03 	
       111.568071	  8.539e-03 	
       111.768015	  8.818e-03 	
       111.967957	  8.731e-03 	
       112.167899	  8.766e-03 	
       112.367843	  8.626e-03 	
